movie_id,genre
9732,Animation
9732,Family
9732,Adventure
100241,Horror
100241,Thriller
20539,Drama
20539,History
80184,Thriller
80184,Mystery
17918,Horror
17918,Science Fiction
109418,Comedy
1662,Drama
1662,Action
1662,Thriller
1662,Crime
5259,Comedy
5259,Drama
37933,Adventure
37933,Fantasy
37933,Animation
37933,Science Fiction
9506,Comedy
20737,Comedy
20737,Family
20737,Drama
12162,Drama
12162,Thriller
12162,War
297961,Crime
297961,Mystery
297961,Thriller
49009,Drama
49009,Adventure
49009,History
22672,TV Movie
22672,Action
22672,Thriller
7227,Action
7227,Adventure
7227,Drama
7227,Thriller
16553,Comedy
10720,Action
10720,Comedy
10720,Romance
10720,Thriller
26603,Comedy
26603,Fantasy
22377,War
22377,Drama
356296,Crime
356296,Drama
356296,Thriller
27088,Comedy
865,Action
865,Science Fiction
21724,Action
21724,Comedy
21724,Music
33076,Comedy
193610,Comedy
193610,Romance
46529,Action
46529,Thriller
46529,Science Fiction
46529,Adventure
16608,Action
16608,Adventure
16608,Crime
16608,Drama
16608,Thriller
16608,Western
1255,Horror
1255,Drama
1255,Science Fiction
124459,Comedy
8879,Romance
8879,Western
11702,Action
11702,Drama
11702,Crime
11702,Thriller
79548,Drama
79548,Thriller
286521,Drama
31597,Action
31597,Thriller
31597,Crime
31597,Mystery
7518,Comedy
7518,Animation
7518,Family
57089,Comedy
57089,Animation
57089,Family
11033,Horror
11033,Mystery
11033,Thriller
4421,Action
4421,Drama
11648,Romance
11648,Comedy
12140,Animation
12140,Drama
12140,Science Fiction
13998,Comedy
13998,Drama
2898,Comedy
2898,Romance
12579,Romance
12579,Drama
10536,Action
10536,Crime
10536,Comedy
10536,Thriller
4942,Comedy
4942,Romance
4942,Drama
11469,Adventure
11469,Comedy
11469,Fantasy
2277,Comedy
2277,Science Fiction
49524,Fantasy
49524,Action
49524,Comedy
49524,Crime
9388,Comedy
9388,Drama
14248,Animation
14248,Comedy
14248,Family
14248,Fantasy
4816,Crime
4816,Drama
58985,Drama
58985,Comedy
58985,Music
227719,Science Fiction
227719,Thriller
7342,TV Movie
7342,Drama
7342,Horror
376659,Comedy
828,Drama
828,Science Fiction
828,Thriller
1090,Thriller
